name,homepage
West Side History,https://en.wikipedia.org/wiki/West_Side_Story_(2021_film)
Girl,https://en.wikipedia.org/wiki/Girl_(2018_film)
The Danish Girl,https://en.wikipedia.org/wiki/The_Danish_Girl_(film)
Boy Meets Girl,https://en.wikipedia.org/wiki/Boy_Meets_Girl_(2015_TV_series)
Laurence Anyways,https://en.wikipedia.org/wiki/Laurence_Anyways
Boy Meets Girl,https://en.wikipedia.org/wiki/Boy_Meets_Girl_(2014_film)
Tangerine,https://en.wikipedia.org/wiki/Tangerine_(film)
Soldier's Girl,https://en.wikipedia.org/wiki/Soldier%27s_Girl
Beautiful Boxer,https://en.wikipedia.org/wiki/Beautiful_Boxer
Hedwig and the Angry Inch,https://en.wikipedia.org/wiki/Hedwig_and_the_Angry_Inch_(film)
Understanding Transgender Identity,/
Proud To Be Me,/
Definition,/
What is Transgender,/
Our Aim,/
Latest News,/
Gender-neutral Passports-Campaigner Christie Elan-Cane loses Supreme Court Case,/
Rachel Levine-Transgender Official Sworn in as Four-star Admiral,/
The Wachowski Sisters-Transgender Directors of Matrix Series,/
Transgender and Self-identification,/self
How do transgender people perceive their gender?,/self
What types of interventions are used for transition and is it compulsory?,/self
Does transition affect one's sexual orientation?,/self
Motivations Behind Transition - Using Body to Free Mind,/self
Dragon Lady,/self
Transgender and Family,/family
What is Encouraged,/family
Behaviours to Avoid!,/family
What is okay to ask and say when my loved ones are transgender?,/family
Kim Kardashian Asks Caitlyn Jenner Questions About Her Sexuality,/family
Transgender and Society,/society
Selected Topics,/society
People Who Menstruate? Is J.K. Rowling “Transphobia”?,/society-period
J.K. Rowling's Self-defence,/society-period
Emma Watson Reacts To J.K. Rowling's Trans Community Comments,/society-period
J.K. Rowling Stirs Up More Controversy With New Transgender Claims,/society-period
Laurel Hubbard, the First Transgender Athlete at Olympics,/society-sports
Trans Athlete To Compete in Women’s Weightlifting at Olympics! Is It Fair?,/society-sports
Swimmer’s Records Spark Debate Over Trans Athletes In Women’s Sports,/society-sports
Do Trans Athletes Have an Unfair Advantage? Trans vs Cis Athletes | Middle Ground,/society-sports
Do Transgender Athletes Have an Unfair Advantage?,/society-sports
Jari Jones and Calvin Klein's Marketing Advertisement,/society-marketing
Jari Jones is PROUDINMYCALVINS,/society-marketing



